width_mm,height_mm,rows,columns,texts,font_path,text_clearance_mm,font_color,stroke_width_mm,stroke_color,line_gap_ratio,canvas_color,canvas_thickness_mm,background_color
32,9,1,1,LIVERPOOL,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1,white,0.35,black,0.25,black,1,#555555
32,9,1,1,LIVERPOOL,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1,white,0.35,black,0.25,black,1,#555555
32,9,1,1,LIVERPOOL,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1,white,0.35,black,0.25,black,1,#555555
32,9,1,1,LIVERPOOL,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1,white,0.35,black,0.25,black,1,#555555
32,9,1,1,LIVERPOOL,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1,white,0.35,black,0.25,black,1,#555555
32,9,1,1,LIVERPOOL,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1,white,0.35,black,0.25,black,1,#555555
32,9,1,1,LIVERPOOL,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1,white,0.35,black,0.25,black,1,#555555
32,9,1,1,LIVERPOOL,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1,white,0.35,black,0.25,black,1,#555555
32,9,1,1,LIVERPOOL,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1,white,0.35,black,0.25,black,1,#555555
32,9,1,1,LIVERPOOL,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1,white,0.35,black,0.25,black,1,#555555
,,,,,,,,,,,,,
40,10,1,1,1. BASS GUITAR,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,0.7,behringer_blue
40,10,1,1,2. VIOLIN,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,0.7,behringer_light_blue
40,10,1,1,3. ACOUSTIC GUITAR AGATA,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,0.7,behringer_green
40,10,1,1,4. VOCAL AGATA,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,0.7,behringer_green
40,10,1,1,5. VOCAL NINA,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,white,0.3,black,0.2,black,0.7,behringer_dark_gray
40,10,1,1,6. ACOUSTIC GUITAR TOMEK,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,0.7,white
40,10,1,1,7. ELECTRIC GUITAR TOMEK,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,0.7,white
40,10,1,1,8. GUEST,/home/t/Desktop/label generator/NotoSansDisplay-Bold.ttf,1.8,black,0.3,white,0.2,black,0.7,behringer_yellow
